ID,Name,Name_nospace,Description,Ontological Scope,CRM Path,Expected Value Type,Field_Turtle,Category,Authors,Users,Funders
fie_71_Publication Date - Latest,Publication Date - Latest,Publication_Date_-_Latest,This field is used to record the latest possible date for the creation of the documented bibliographic item.,F24 Publication Expression,--> R24i --> F30[70_1] --> P4 --> E52[70_2] --> P82b --> xsd:dateTime,Date,"frbroo:R24i_was_created_through <https://example.org/event/fie_70_1> .
<https://example.org/event/fie_70_1> a frbroo:F30_Publication_Event;
crm:P4_has_time-span <https://example.org/time_span/fie_70_2> .
<https://example.org/time_span/fie_70_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .",[CAT.3] Existence,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_72_Publication Location,Publication Location,Publication_Location,This field is used to record the place of the publicatio of the documented bibliographic item.,F24 Publication Expression,--> R24i --> F30[70_1] --> P7 --> E53[72_1],Reference Model,"frbroo:R24i_was_created_through <https://example.org/event/fie_70_1> .
<https://example.org/event/fie_70_1> a frbroo:F30_Publication_Event;
crm:P7_took_place_at <https://example.org/place/fie_72_1> . <https://example.org/place/fie_72_1> a crm:E53_Place .",[CAT.3] Existence,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_73_Birth Date - Earliest,Birth Date - Earliest,Birth_Date_-_Earliest,This field is used to record the earliest possible date for the birth of the documented person.,E21 Person,--> P98i --> E67[73_1] --> P4 --> E52[73_2] --> P82a --> xsd:dateTime,Date,"crm:P98i_was_born
<https://example.org/event/fie_73_1> .
<https://example.org/event/fie_73_1> a 
crm:E67_Birth;
crm:P4_has_time-span <https://example.org/time_span/fie_73_2> .
<https://example.org/time_span/fie_73_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .",[CAT.3] Existence,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_74_Birth Date - Latest,Birth Date - Latest,Birth_Date_-_Latest,This field is used to record the latest possible date for the birth of the documented person.,E21 Person,--> P98i --> E67[73_1] --> P4 --> E52[73_2] --> P82b --> xsd:dateTime,Date,"crm:P98i_was_born
<https://example.org/event/fie_73_1> .
<https://example.org/event/fie_73_1> a 
crm:E67_Birth;
crm:P4_has_time-span <https://example.org/time_span/fie_73_2> .
<https://example.org/time_span/fie_73_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .",[CAT.3] Existence,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_75_Birth Location,Birth Location,Birth_Location,This field is used to record the place of birth of the documented person.,E21 Person,--> P98i --> E67[73_1] --> P7 --> E53[75_1],Reference Model,"crm:P98i_was_born
<https://example.org/event/fie_73_1> .
<https://example.org/event/fie_73_1> a 
crm:E67_Birth;
crm:P7_took_place_at <https://example.org/place/fie_75_1> . <https://example.org/place/fie_75_1> a crm:E53_Place .",[CAT.3] Existence,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_76_Death Date - Earliest,Death Date - Earliest,Death_Date_-_Earliest,This field is used to record the earliest possible date for the death of the documented person.,E21 Person,--> P100i --> E69[76_1] --> P4 --> E52[76_2] --> P82a --> xsd:dateTime,Date,"crm:P100i_died_in
<https://example.org/event/fie_76_1> .
<https://example.org/event/fie_76_1> a 
crm:E69_Death;
crm:P4_has_time-span <https://example.org/time_span/fie_76_2> .
<https://example.org/time_span/fie_76_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .",[CAT.3] Existence,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_77_Death Date - Latest,Death Date - Latest,Death_Date_-_Latest,This field is used to record the latest possible date for the death of the documented person.,E21 Person,--> P100i --> E69[76_1] --> P4 --> E52[76_2] --> P82b --> xsd:dateTime,Date,"crm:P100i_died_in
<https://example.org/event/fie_76_1> .
<https://example.org/event/fie_76_1> a 
crm:E69_Death;
crm:P4_has_time-span <https://example.org/time_span/fie_76_2> .
<https://example.org/time_span/fie_76_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .",[CAT.3] Existence,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_78_Death Location,Death Location,Death_Location,This field is used to record the place of death of the documented person.,E21 Person,--> P100i --> E69[76_1] --> P7 --> E53[78_1],Reference Model,"crm:P100i_died_in
<https://example.org/event/fie_76_1> .
<https://example.org/event/fie_76_1> a 
crm:E69_Death;
crm:P7_took_place_at <https://example.org/place/fie_78_1> . <https://example.org/place/fie_78_1> a crm:E53_Place .",[CAT.3] Existence,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_79_Formation Date - Earliest,Formation Date - Earliest,Formation_Date_-_Earliest,This field is used to record the earliest possible date for the formation of the documented group or institution.,E74 Group,--> P95i --> E66[79_1] --> P4 --> E52[79_2] --> P82a --> xsd:dateTime,Date,"crm:P95i_was_formed_by
<https://example.org/event/fie_79_1> .
<https://example.org/event/fie_79_1> a 
crm:E66_Formation;
crm:P4_has_time-span <https://example.org/time_span/fie_79_2> .
<https://example.org/time_span/fie_79_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .",[CAT.3] Existence,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_80_Formation Date - Latest,Formation Date - Latest,Formation_Date_-_Latest,This field is used to record the latest possible date for the formation of the documented group or institution.,E74 Group,--> P95i --> E66[79_1] --> P4 --> E52[79_2] --> P82b --> xsd:dateTime,Date,"crm:P95i_was_formed_by
<https://example.org/event/fie_79_1> .
<https://example.org/event/fie_79_1> a 
crm:E66_Formation;
crm:P4_has_time-span <https://example.org/time_span/fie_79_2> .
<https://example.org/time_span/fie_79_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .",[CAT.3] Existence,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_81_Formation Location,Formation Location,Formation_Location,This field is used to record the place of formation of the documented group or institution.,E74 Group,--> P95i --> E66[79_1] --> P7 --> E53[81_1],Reference Model,"crm:P95i_was_formed_by
<https://example.org/event/fie_79_1> .
<https://example.org/event/fie_79_1> a 
crm:E66_Formation;
crm:P7_took_place_at <https://example.org/place/fie_81_1> . <https://example.org/place/fie_81_1> a crm:E53_Place .",[CAT.3] Existence,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_82_Formed from,Formed from,Formed_from,This field is used to record a group or institution which pre-existed the documented group and from which it was formed.,E74 Group,--> P95i --> E66[79_1] --> P151 --> E74[82_1],Reference Model,"crm:P95i_was_formed_by
<https://example.org/event/fie_79_1> .
<https://example.org/event/fie_79_1> a 
crm:E66_Formation;
crm:P151_was_formed_from <https://example.org/actor/fie_82_1> .
<https://example.org/actor/fie_82_1> a crm:E39_Actor .",[CAT.3] Existence,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_83_Dissolution Date - Earliest,Dissolution Date - Earliest,Dissolution_Date_-_Earliest,This field is used to record the earliest possible date for the dissolution of the documented group or institution.,E74 Group,--> P99i --> E68[83_1] --> P4 --> E52[83_2] --> P82a --> xsd:dateTime,Date,"crm:P99i_was_dissolved_by
<https://example.org/event/fie_83_1> .
<https://example.org/event/fie_83_1> a 
crm:E68_Dissolution;
crm:P4_has_time-span <https://example.org/time_span/fie_83_2> .
<https://example.org/time_span/fie_83_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .",[CAT.3] Existence,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_84_Dissolution Date - Latest,Dissolution Date - Latest,Dissolution_Date_-_Latest,This field is used to record the latest possible date for the dissolution of the documented group or institution.,E74 Group,--> P99i --> E68[83_1] --> P4 --> E52[83_2] --> P82b --> xsd:dateTime,Date,"crm:P99i_was_dissolved_by
<https://example.org/event/fie_83_1> .
<https://example.org/event/fie_83_1> a 
crm:E68_Dissolution;
crm:P4_has_time-span <https://example.org/time_span/fie_83_2> .
<https://example.org/time_span/fie_83_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .",[CAT.3] Existence,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_85_Dissolution Location,Dissolution Location,Dissolution_Location,This field is used to record the place at which the dissolution of the documented group occurred.,E74 Group,--> P99i --> E68[83_1] --> P7 --> E53[85_1],Reference Model,"crm:P99i_was_dissolved_by
<https://example.org/event/fie_83_1> .
<https://example.org/event/fie_83_1> a 
crm:E68_Dissolution;
crm:P7_took_place_at <https://example.org/place/fie_85_1> . <https://example.org/place/fie_85_1> a crm:E53_Place .",[CAT.3] Existence,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_86_Dimension Type,Dimension Type,Dimension_Type,This field is used to record the type of measurement that the dimension of the documented object represents.,E1 CRM Entity,--> P39i --> E16[86_1] --> P40 --> E54[86_2] --> P2 --> E55[86_3],Concept,"crm:P39i_was_measured_by
<https://example.org/event/fie_86_1> .
<https://example.org/event/fie_86_1> a 
crm:E16_Measurement;
crm:P40_observed_dimension <https://example.org/dimension/fie_86_2> . <https://example.org/dimension/fie_86_2> a crm:E54_Dimension ;
crm:P2_has_type
<https://example.org/type/fie_86_3> .
<https://example.org/type/fie_86_3> a crm:E55_Type .",[CAT.4] Substance,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_87_Dimension Value,Dimension Value,Dimension_Value,This field is used to record the value of the measured dimension of the documented object.,E1 CRM Entity,--> P39i --> E16[86_1] --> P40 --> E54[86_2] --> P90 --> xsd:decimal,Integer,"crm:P39i_was_measured_by
<https://example.org/event/fie_86_1> .
<https://example.org/event/fie_86_1> a 
crm:E16_Measurement;
crm:P40_observed_dimension <https://example.org/dimension/fie_86_2> . <https://example.org/dimension/fie_86_2> a crm:E54_Dimension ;
crm:P90_has_value ""content"" .",[CAT.4] Substance,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_88_Dimension Unit,Dimension Unit,Dimension_Unit,This field is used to record the unit of the measured dimension of the documented object.,E1 CRM Entity,--> P39i --> E16[86_1] --> P40 --> E54[86_2] --> P91 --> E58[88_1],Concept,"crm:P39i_was_measured_by
<https://example.org/event/fie_86_1> .
<https://example.org/event/fie_86_1> a 
crm:E16_Measurement;
crm:P40_observed_dimension <https://example.org/dimension/fie_86_2> . <https://example.org/dimension/fie_86_2> a crm:E54_Dimension ;
crm:P91_has_unit <https://example.org/type/fie_88_1> .
<https://example.org/type/fie_88_1> a crm:E58_Measurement_Unit .",[CAT.4] Substance,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_89_Dimension Taker,Dimension Taker,Dimension_Taker,This field is used to record the actor who undertook the measurement producing the dimension of the documented object.,E1 CRM Entity,--> P39i --> E16[86_1] --> P14 --> E39[89_1],Reference Model,"crm:P39i_was_measured_by
<https://example.org/event/fie_86_1> .
<https://example.org/event/fie_86_1> a 
crm:E16_Measurement;
crm:P14_carried_out_by <https://example.org/actor/fie_89_1> . <https://example.org/actor/fie_89_1> a crm:E39_Actor .",[CAT.4] Substance,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_90_Material,Material,Material,This field is used to record the material of which the documented physical object consists.,E18 Physical Thing,--> P45 --> E57[90_1],Concept,"crm:P45_consists_of
<https://example.org/type/material/fie_90_1> .
<https://example.org/type/material/fie_90_1> a
crm:E57_Material .",[CAT.4] Substance,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_91_Technique,Technique,Technique,This field is used to record the technique used in the production of the documented object.,E24 Physical Human-Made Thing,--> P108i --> E12[58_1] --> P32 --> E55[91_1],Concept,"crm:108i_was_produced_by <https://example.org/event/fie_58_1> .
<https://example.org/event/fie_58_1> a crm:E12_Production;
crm:P32_used_general_technique <https://example.org/type/fie_91_1> .
<https://example.org/type/fie_91_1> a crm:E55_Type .",[CAT.4] Substance,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_92_Coordinates,Coordinates,Coordinates,This field is used to record a set of geographic coordinates which have been attributed the documented place enabling its localization in a reference space.,E53 Place,--> P168 --> geo:wkt,GeoJson,"crm:P168_place_is_defined_by """"^^geo:wkt .",[CAT.4] Substance,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_93_Language,Language,Language,This field is used to record the language of the documented bibliographic item.,F24 Publication Expression,--> P72 --> E56[93_1],Concept,"crm:P72_has_language <https://example.org/type/language/fie_93_1> . 
<https://example.org/type/language/fie_93_1> a crm:E56_Language .",[CAT.4] Substance,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_94_Number of Pages,Number of Pages,Number_of_Pages,This field is used to record the number of pages in a bibliographic item using free text.,F24 Publication Expression,"--> P43 --> E54[94_1] --> P129i --> E73[94_2] --> P190 --> rdfs:Literal<br><br> --> P43 --> E54[94_1] --> P2 --> E55[94_3]""Page Numbers""",Integer,"crm:P43_has_dimension
<https://example.org/dimension/fie_94_1> . <https://example.org/dimension/fie_94_1> a crm:E54_Dimension ;
crm:P129i_is_subject_of <https://example.org/conceptual_object/fie_94_2> .
<https://example.org/conceptual_object/fie_94_2> a crm:E73_Information_Object ;
crm:P190_has_symbolic_content ""content"" ;
crm:P2_has_type <https://example.org/type/fie_94_3> .
<https://example.org/type/fie_94_3> a crm:E55_Type .",[CAT.4] Substance,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_95_Conforms to,Conforms to,Conforms_to,This field is used to record a formal standard which was used in the creation of the digital object to which it should in principle conform.,D1 Digital Object,--> L11i --> D7[66_1] --> P32 --> E29/D1[95_1],Reference Model,"crmdig:L11i_was_output_of <https://example.org/event/fie_66_1> .
<https://example.org/event/fie_66_1> a crmdig:D7_Digital_Machine_Event;
crm:P33_used_specific_technique
<https://example.org/type/fie_95_1> .
<https://example.org/type/fie_95_1> a crm:E29_Design_or_Procedure .",[CAT.4] Substance,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_96_has Content,has Content,has_Content,"This field is used to record the actual digital content of the documented digital object as a blob, where appropriate.",D1 Digital Object,--> P190 --> rdfs:Literal,file/bitstream,"crm:P190_has_symbolic_content ""content"".",[CAT.4] Substance,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_97_Languages,Languages,Languages,This field is used to record language(s) known by the documented person.,E21 Person,--> SRP1_used_language --> E56[97_1],Concept,"sari:SRP1_used_language <https://example.org/language/fie_97_1> .

<https://example.org/language/fie_97_1> a crm:E56_Language .",[CAT.5] Knowledge,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_98_Subject List,Subject List,Subject_List,"This field is used to record the subject matter(s) with which the event was intended to deal, at a categorical level.",E7 Activity,--> P17 --> E55[98_1],Concept,"crm:P17_was_motivated_by <https://example.org/type/fie_98_1> .
<https://example.org/type/fie_98_1> a crm:E55_Type .",[CAT.6] Aboutness,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_99_Subject Description,Subject Description,Subject_Description,"This field is used to record a description of the subject of an event in a free text form, when the data for that event has not been sorted into categorized lists.",E7 Activity,--> P129i --> E73[99_1],Collection Model,"crm:P129i_is_subject_of <https://example.org/conceptual_object/fie_99_1> .
<https://example.org/conceptual_object/fie_99_1> a crm:E33_Linguistic_Object .",[CAT.6] Aboutness,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_100_Subject,Subject,Subject,"This field is used to record the subject of representation of the documented physical object. It is meant to capture general subject areas, not particular individual items represented.",E24 Physical Human-Made Thing,--> P62 --> E55[100_1],Concept,"crm:P62_depicts <https://example.org/entity/fie_100_1> .
<https://example.org/entity/fie_100_1> a crm:E55_Type .",[CAT.6] Aboutness,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_101_Temporal Reference,Temporal Reference,Temporal_Reference,This field is used to record the temporal coverage associated with the documented propositional item. It is meant to capture the temporal area to which this item can be associated as having relevance.,E89 Propositional Object,--> P129 --> E4[101_1],Reference Model,crm:P129_is_about <https://example.org/event/fie_101_1> . <https://example.org/event/fie_101_1> a crm:E4_Period .,[CAT.6] Aboutness,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_102_Physical Geographic Reference,Physical Geographic Reference,Physical_Geographic_Reference,This field is used to record the geographic coverage associated with the documented propositional item. It is meant to capture the geographic area to which this item can be associated as having relevance.,E89 Propositional Object,--> P129 --> E53[102_1],Reference Model,crm:P129_is_about <https://example.org/place/fie_102_1> . <https://example.org/place/fie_102_1> a crm:E53_Place .,[CAT.6] Aboutness,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_103_Subject Reference,Subject Reference,Subject_Reference,"This field is used to record the subject of representation of the documented propositional item. It is meant to capture general subject areas, not particular individual items represented.",E89 Propositional Object,--> P129 --> E55[103_1],Concept,crm:P129_is_about <https://example.org/type/fie_103_1> . <https://example.org/type/fie_103_1> a crm:E55_Type .,[CAT.6] Aboutness,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_104_Use Period - Type,Use Period - Type,Use_Period_-_Type,This field is used to record the kind of period of use of the documented object.,E18 Physical Thing,"--> P12i --> E5[104_1] --> P2 --> E55 ""Use Period Type""[104_2]",Concept,"crm:P12i_was_present_at
<https://example.org/event/fie_104_1> .
<https://example.org/event/fie_104_1> a 
crm:E5_Event;
crm:P2_has_type <https://example.org/type/fie_104_2> .
<https://example.org/type/fie_104_2> a crm:E55_Type .",[CAT.7] Events,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_105_Use Period - Start,Use Period - Start,Use_Period_-_Start,This field is used to record the start of a kind of period of use for the built work.,E18 Physical Thing,--> P12i --> E5[104_1] --> P4 --> E52[105_1] --> P82a --> xsd:dateTime,Date,"crm:P12i_was_present_at
<https://example.org/event/fie_104_1> .
<https://example.org/event/fie_104_1> a 
crm:E5_Event;
crm:P4_has_time-span <https://example.org/time_span/fie_105_1> .
<https://example.org/time_span/fie_105_1> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .",[CAT.7] Events,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_106_Use Period - End,Use Period - End,Use_Period_-_End,This field is used to record the end of a period of use for the documented object.,E18 Physical Thing,--> P12i --> E5[104_1] --> P4 --> E52[105_1] --> P82b --> xsd:dateTime,Date,"crm:P12i_was_present_at
<https://example.org/event/fie_104_1> .
<https://example.org/event/fie_104_1> a 
crm:E5_Event;
crm:P4_has_time-span <https://example.org/time_span/fie_105_1> .
<https://example.org/time_span/fie_105_1> a crm:E52_Time-Span;
crm:P82a_end_of_the_end """"^^xsd:dateTime .",[CAT.7] Events,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_107_Conservation Event - Type,Conservation Event - Type,Conservation_Event_-_Type,This field is used to record the type of conservation event performed on the documented physical object.,E24 Physical Human-Made Thing,--> P31i --> E11[107_1] --> P2 --> E55[107_2],Concept,"crm:P31i_was_modified_by
<https://example.org/event/fie_107_1> .
<https://example.org/event/fie_107_1> a 
crm:E11_Modification;
crm:P2_has_type <https://example.org/type/fie_107_2> .
<https://example.org/type/fie_107_2> a crm:E55_Type .
",[CAT.7] Events,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_108_Conservation Event - Earliest,Conservation Event - Earliest,Conservation_Event_-_Earliest,This field is used to record the earliest date for a conservation event performed on the documented physical object.,E24 Physical Human-Made Thing,--> P31i --> E11[107_1] --> P4 --> E52[108_1] --> P82a --> xsd:dateTime,Date,"crm:P31i_was_modified_by
<https://example.org/event/fie_107_1> .
<https://example.org/event/fie_107_1> a 
crm:E11_Modification;
crm:P4_has_time-span <https://example.org/time_span/fie_108_1> .
<https://example.org/time_span/fie_108_1> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .",[CAT.7] Events,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_109_Conservation Event - Latest,Conservation Event - Latest,Conservation_Event_-_Latest,This field is used to record the latest date for a conservation event performed on the documented physical object.,E24 Physical Human-Made Thing,--> P31i --> E11[107_1] --> P4 --> E52[108_1] --> P82b --> xsd:dateTime,Date,"crm:P31i_was_modified_by
<https://example.org/event/fie_107_1> .
<https://example.org/event/fie_107_1> a 
crm:E11_Modification;
crm:P4_has_time-span <https://example.org/time_span/fie_108_1> .
<https://example.org/time_span/fie_108_1> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .",[CAT.7] Events,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_110_Conservation Event - technique,Conservation Event - technique,Conservation_Event_-_technique,This field is used to record the technique used in the conservation event performed on the documented object.,E24 Physical Human-Made Thing,--> P31i --> E11[107_1] --> P32 --> E55[110_1],Concept,"crm:P31i_was_modified_by
<https://example.org/event/fie_107_1> .
<https://example.org/event/fie_107_1> a 
crm:E11_Modification;
crm:P32_used_general_technique <https://example.org/type/fie_110_1> .
<https://example.org/type/fie_110_1> a crm:E55_Type .",[CAT.7] Events,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_111_Conservator,Conservator,Conservator,This field is used to record the actor that  carried out the conservation event performed on the documented object.,E24 Physical Human-Made Thing,--> P31i --> E11[107_1] --> P14 --> E21[111_1],Reference Model,"crm:P31i_was_modified_by
<https://example.org/event/fie_107_1> .
<https://example.org/event/fie_107_1> a 
crm:E11_Modification;
crm:P14_carried_out_by <https://example.org/actor/fie_111_1> .
<https://example.org/actor/fie_111_1> a crm:E21_Person .
",[CAT.7] Events,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_112_Conservation Event Description,Conservation Event Description,Conservation_Event_Description,This field used to record a description in free text format related to the conservation event performed on the documented artwork.,E24 Physical Human-Made Thing,--> P31i --> E11[107_1] --> P129i --> E33[112_1],Collection Model,"crm:P31i_was_modified_by
<https://example.org/event/fie_107_1> .
<https://example.org/event/fie_107_1> a 
crm:E11_Modification;
crm:P119i_is_subject_of <https://example.org/conceptual_Object/fie_112_1> .
<https://example.org/conceptual_Object/fie_112_1> a crm:E73_Linguistic_Object .",[CAT.7] Events,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_113_Past Ownership Period Statement - Earliest date of taking of Possession,Past Ownership Period Statement - Earliest date of taking of Possession,Past_Ownership_Period_Statement_-_Earliest_date_of_taking_of_Possession,This field is used to record the earliest possible date for taking possession of the documented object by some actor.,E24 Physical Human-Made Thing,--> P24i --> E8[113_1] --> P4 --> E52[113_2] --> P82a --> xsd:dateTime,Date,"crm:P24i_changed_ownership_through
<https://example.org/event/fie_113_1> .
<https://example.org/event/fie_113_1> a 
crm:E8_Acquisition;
crm:P4_has_time-span <https://example.org/time_span/fie_113_2> .
<https://example.org/time_span/fie_113_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .",[CAT.7] Events,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_114_Past Ownership Period Statement - Latest Date of taking of Possession,Past Ownership Period Statement - Latest Date of taking of Possession,Past_Ownership_Period_Statement_-_Latest_Date_of_taking_of_Possession,This field is used to record the latest possible date for taking possession of the documented object by some actor.,E24 Physical Human-Made Thing,--> P24i --> E8[113_1] --> P4 --> E52[113_2] --> P82b --> xsd:dateTime,Date,"crm:P24i_changed_ownership_through
<https://example.org/event/fie_113_1> .
<https://example.org/event/fie_113_1> a 
crm:E8_Acquisition;
crm:P4_has_time-span <https://example.org/time_span/fie_113_2> .
<https://example.org/time_span/fie_113_2> a crm:E52_Time-Span;
crm:P82a_end_of_the_end """"^^xsd:dateTime .",[CAT.7] Events,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_115_Past Ownership Period Statement - Actor Obtaining Ownership,Past Ownership Period Statement - Actor Obtaining Ownership,Past_Ownership_Period_Statement_-_Actor_Obtaining_Ownership,This field is used to record the actor taking possession of the documented object.,E24 Physical Human-Made Thing,--> P24i --> E8[113_1] --> P22 --> E39[115_1],Reference Model,"crm:P24i_changed_ownership_through
<https://example.org/event/fie_113_1> .
<https://example.org/event/fie_113_1> a 
crm:E8_Acquisition;
crm:P22_transferred_title_to <https://example.org/actor/fie_115_1> .
<https://example.org/actor/fie_115_1> a crm:E39_Actor .",[CAT.7] Events,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_116_Past Ownership Period Statement - Earliest Ceding of Possession,Past Ownership Period Statement - Earliest Ceding of Possession,Past_Ownership_Period_Statement_-_Earliest_Ceding_of_Possession,This field is used to record the earliest possible date for ceding of possession of the documented object by some actor.,E24 Physical Human-Made Thing,--> P24i --> E8[113_1] --> P115i --> E8[116_1] --> P4 --> E52[116_2] --> P82a --> xsd:dateTime,Date,"crm:P24i_changed_ownership_through
<https://example.org/event/fie_113_1> .
<https://example.org/event/fie_113_1> a 
crm:E8_Acquisition;
crm:P115i_is_finished_by
<https://example.org/event/fie_116_1> .
<https://example.org/event/fie_116_1> a 
crm:E8_Acquisition;
crm:P4_has_time-span <https://example.org/time_span/fie_116_2> .
<https://example.org/time_span/fie_116_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .",[CAT.7] Events,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
fie_117_Past Ownership Period Statement - Latest Ceding of Possession,Past Ownership Period Statement - Latest Ceding of Possession,Past_Ownership_Period_Statement_-_Latest_Ceding_of_Possession,This field is used to record the latest possible date for ceding of possession of the documented object by some actor.,E24 Physical Human-Made Thing,--> P24i --> E8[113_1] --> P115i --> E8[116_1] --> P4 --> E52[116_2] --> P82b --> xsd:dateTime,Date,"crm:P24i_changed_ownership_through
<https://example.org/event/fie_113_1> .
<https://example.org/event/fie_113_1> a 
crm:E8_Acquisition;
crm:P115i_is_finished_by
<https://example.org/event/fie_116_1> .
<https://example.org/event/fie_116_1> a 
crm:E8_Acquisition;
crm:P4_has_time-span <https://example.org/time_span/fie_116_2> .
<https://example.org/time_span/fie_116_2> a crm:E52_Time-Span;
crm:P82a_end_of_the_end """"^^xsd:dateTime .",[CAT.7] Events,"George Bruseker,Nicola Carboni",Swiss Art Research Infrastructure,Swiss Art Research Infrastructure
